Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1640.0,1640.0,1640.0,1640.0,1631.368896484375,0
2018-01-02,1640.0,1640.0,1640.0,1640.0,1631.368896484375,0
2018-01-03,1640.0,1640.0,1640.0,1640.0,1631.368896484375,0
2018-01-04,1675.0,1690.0,1592.5,1665.0,1656.2374267578125,2958600
2018-01-05,1672.5,1687.5,1652.5,1675.0,1666.1846923828125,1940200
2018-01-08,1675.0,1675.0,1675.0,1675.0,1666.1846923828125,0
2018-01-09,1692.5,1707.5,1670.0,1677.5,1668.671630859375,2696000
2018-01-10,1665.0,1682.5,1657.5,1660.0,1651.263671875,1237000
2018-01-11,1647.5,1652.5,1635.0,1650.0,1641.3162841796875,1417200
2018-01-12,1645.0,1655.0,1637.5,1642.5,1633.8558349609375,1380200
2018-01-15,1660.0,1662.5,1640.0,1642.5,1633.8558349609375,1091400
2018-01-16,1632.5,1645.0,1622.5,1635.0,1626.395263671875,1039200
2018-01-17,1640.0,1675.0,1637.5,1657.5,1648.7769775390625,1628200
2018-01-18,1657.5,1672.5,1650.0,1660.0,1651.263671875,1788800
2018-01-19,1675.0,1680.0,1662.5,1675.0,1666.1846923828125,1759200
2018-01-22,1675.0,1725.0,1660.0,1722.5,1713.434814453125,2171000
2018-01-23,1825.0,1875.0,1815.0,1842.5,1832.80322265625,3743600
2018-01-24,1850.0,1900.0,1835.0,1887.5,1877.56640625,4199200
2018-01-25,1867.5,1872.5,1855.0,1862.5,1852.697998046875,2147400
2018-01-26,1837.5,1860.0,1820.0,1822.5,1812.9085693359375,2149800
2018-01-29,1822.5,1845.0,1807.5,1822.5,1812.9085693359375,1393800
2018-01-30,1792.5,1800.0,1772.5,1797.5,1788.0401611328125,2228800
2018-01-31,1800.0,1820.0,1792.5,1812.5,1802.9610595703125,2118800
2018-02-01,1865.0,1867.5,1810.0,1840.0,1830.3165283203125,1605000
2018-02-02,1817.5,1825.0,1792.5,1822.5,1812.9085693359375,1195200
2018-02-05,1777.5,1797.5,1762.5,1782.5,1773.118896484375,1831800
2018-02-06,1715.0,1725.0,1625.0,1670.0,1661.211181640625,5376600
2018-02-07,1705.0,1725.0,1677.5,1690.0,1681.10595703125,3879200
2018-02-08,1687.5,1715.0,1652.5,1685.0,1676.1322021484375,3263600
2018-02-09,1755.0,1975.0,1755.0,1905.0,1894.9744873046875,11929200
2018-02-12,1905.0,1905.0,1905.0,1905.0,1894.9744873046875,0
2018-02-13,1905.0,1935.0,1857.5,1872.5,1862.6453857421875,6827400
2018-02-14,1872.5,1902.5,1820.0,1850.0,1840.2637939453125,5336000
2018-02-15,1870.0,1900.0,1845.0,1887.5,1877.56640625,3066200
2018-02-16,1865.0,1890.0,1827.5,1832.5,1822.85595703125,2018400
2018-02-19,1867.5,1925.0,1865.0,1925.0,1914.8690185546875,2211400
2018-02-20,1905.0,1915.0,1885.0,1902.5,1892.4874267578125,1596400
2018-02-21,1932.5,1950.0,1900.0,1925.0,1914.8690185546875,2880600
2018-02-22,1952.5,1987.5,1940.0,1955.0,1944.711181640625,3278400
2018-02-23,1965.0,1975.0,1942.5,1955.0,1944.711181640625,2119600
2018-02-26,1967.5,1997.5,1945.0,1995.0,1984.500732421875,2373000
2018-02-27,2000.0,2005.0,1977.5,1990.0,1979.52685546875,1729600
2018-02-28,1960.0,1970.0,1927.5,1940.0,1929.7901611328125,2722800
2018-03-01,1920.0,1930.0,1877.5,1907.5,1897.461181640625,2892000
2018-03-02,1850.0,1880.0,1850.0,1857.5,1847.7242431640625,2890200
2018-03-05,1862.5,1885.0,1852.5,1870.0,1860.1585693359375,2378800
2018-03-06,1900.0,1942.5,1895.0,1932.5,1922.32958984375,2514600
2018-03-07,1910.0,1937.5,1905.0,1925.0,1914.8690185546875,1931800
2018-03-08,1952.5,1955.0,1920.0,1932.5,1922.32958984375,2181000
2018-03-09,2002.5,2002.5,1890.0,1907.5,1897.461181640625,3969000
2018-03-12,1920.0,1927.5,1890.0,1915.0,1904.921630859375,3065000
2018-03-13,1885.0,1905.0,1867.5,1900.0,1890.0006103515625,3000400
2018-03-14,1885.0,1892.5,1812.5,1817.5,1807.934814453125,3521600
2018-03-15,1817.5,1832.5,1805.0,1825.0,1815.3953857421875,2457200
2018-03-16,1835.0,1875.0,1805.0,1810.0,1800.4742431640625,3314800
2018-03-19,1812.5,1872.5,1812.5,1852.5,1842.750732421875,2462000
2018-03-20,1840.0,1842.5,1800.0,1825.0,1815.3953857421875,1316200
2018-03-21,1825.0,1825.0,1825.0,1825.0,1815.3953857421875,0
2018-03-22,1810.0,1837.5,1792.5,1822.5,1812.9085693359375,2121600
2018-03-23,1787.5,1797.5,1772.5,1782.5,1773.118896484375,2488400
2018-03-26,1745.0,1780.0,1745.0,1780.0,1770.6322021484375,1945000
2018-03-27,1815.0,1855.0,1815.0,1842.5,1832.80322265625,4476400
2018-03-28,1730.0,1785.0,1729.0,1784.0,1774.6112060546875,2857100
2018-03-29,1797.0,1819.0,1775.0,1789.0,1779.5848388671875,2525700
2018-03-30,1787.0,1789.0,1739.0,1760.0,1750.737548828125,2594300
2018-04-02,1760.0,1760.0,1699.0,1700.0,1691.0531005859375,2052900
2018-04-03,1679.0,1683.0,1646.0,1651.0,1642.3111572265625,2591600
2018-04-04,1646.0,1661.0,1626.0,1630.0,1621.4215087890625,2959300
2018-04-05,1647.0,1667.0,1620.0,1631.0,1622.416259765625,2462200
2018-04-06,1637.0,1679.0,1633.0,1661.0,1652.258544921875,4948200
2018-04-09,1662.0,1696.0,1661.0,1680.0,1671.158447265625,4453800
2018-04-10,1672.0,1680.0,1656.0,1674.0,1665.1900634765625,2671900
2018-04-11,1687.0,1691.0,1632.0,1645.0,1636.3427734375,2470700
2018-04-12,1642.0,1646.0,1629.0,1631.0,1622.416259765625,1546200
2018-04-13,1635.0,1661.0,1629.0,1647.0,1638.3321533203125,2166400
2018-04-16,1627.0,1645.0,1618.0,1630.0,1621.4215087890625,1580900
2018-04-17,1643.0,1683.0,1621.0,1636.0,1627.39013671875,3748200
2018-04-18,1642.0,1668.0,1625.0,1653.0,1644.300537109375,2460300
2018-04-19,1656.0,1659.0,1606.0,1612.0,1603.5162353515625,1994500
2018-04-20,1612.0,1622.0,1594.0,1600.0,1591.57958984375,1945900
2018-04-23,1557.0,1585.0,1556.0,1561.0,1552.7847900390625,3180600
2018-04-24,1564.0,1609.0,1551.0,1585.0,1576.658447265625,2651800
2018-04-25,1648.0,1648.0,1581.0,1605.0,1596.5531005859375,3838600
2018-04-26,1629.0,1630.0,1607.0,1619.0,1610.4796142578125,2457500
2018-04-27,1616.0,1623.0,1587.0,1593.0,1584.6163330078125,2361800
2018-04-30,1593.0,1593.0,1593.0,1593.0,1584.6163330078125,0
2018-05-01,1606.0,1681.0,1593.0,1672.0,1663.2005615234375,3374000
2018-05-02,1632.0,1654.0,1583.0,1646.0,1637.33740234375,3460400
2018-05-03,1646.0,1646.0,1646.0,1646.0,1637.33740234375,0
2018-05-04,1646.0,1646.0,1646.0,1646.0,1637.33740234375,0
2018-05-07,1606.0,1607.0,1564.0,1577.0,1568.700439453125,5768600
2018-05-08,1571.0,1654.0,1566.0,1633.0,1624.4058837890625,3910600
2018-05-09,1628.0,1635.0,1587.0,1602.0,1593.5689697265625,2708900
2018-05-10,1607.0,1614.0,1573.0,1581.0,1572.6795654296875,2296100
2018-05-11,1581.0,1636.0,1422.0,1501.0,1493.1007080078125,5766000
2018-05-14,1516.0,1652.0,1515.0,1644.0,1635.3480224609375,5153900
2018-05-15,1720.0,1724.0,1644.0,1651.0,1642.3111572265625,4402300
2018-05-16,1637.0,1640.0,1568.0,1574.0,1565.71630859375,3068300
2018-05-17,1581.0,1587.0,1557.0,1571.0,1562.7322998046875,2627900
2018-05-18,1596.0,1690.0,1596.0,1686.0,1677.1268310546875,3513000
2018-05-21,1697.0,1723.0,1689.0,1716.0,1706.968994140625,3314900
2018-05-22,1705.0,1730.0,1693.0,1715.0,1705.974365234375,3097800
2018-05-23,1732.0,1777.0,1730.0,1759.0,1749.7427978515625,3198100
2018-05-24,1792.0,1816.0,1778.0,1814.0,1804.453369140625,3290400
2018-05-25,1835.0,1836.0,1794.0,1806.0,1796.495361328125,3435700
2018-05-28,1756.0,1800.0,1756.0,1773.0,1763.6690673828125,2094300
2018-05-29,1765.0,1799.0,1762.0,1779.0,1769.6375732421875,1852500
2018-05-30,1739.0,1781.0,1731.0,1764.0,1754.716552734375,2129900
2018-05-31,1770.0,1817.0,1760.0,1801.0,1791.5216064453125,6648000
2018-06-01,1827.0,1845.0,1785.0,1794.0,1784.5584716796875,2300100
2018-06-04,1804.0,1805.0,1758.0,1770.0,1760.6846923828125,2224900
2018-06-05,1773.0,1813.0,1771.0,1775.0,1765.658447265625,2127200
2018-06-06,1773.0,1792.0,1764.0,1772.0,1762.67431640625,1868700
2018-06-07,1797.0,1805.0,1747.0,1775.0,1765.658447265625,2627700
2018-06-08,1754.0,1789.0,1739.0,1753.0,1743.7744140625,2805000
2018-06-11,1735.0,1765.0,1733.0,1761.0,1751.732177734375,1149300
2018-06-12,1765.0,1769.0,1707.0,1711.0,1701.995361328125,1879800
2018-06-13,1710.0,1734.0,1685.0,1698.0,1689.063720703125,2346100
2018-06-14,1693.0,1705.0,1674.0,1676.0,1667.1796875,1750000
2018-06-15,1706.0,1795.0,1701.0,1764.0,1754.716552734375,2815200
2018-06-18,1703.0,1735.0,1703.0,1711.0,1701.995361328125,1790900
2018-06-19,1701.0,1709.0,1608.0,1612.0,1603.5162353515625,2805100
2018-06-20,1604.0,1630.0,1575.0,1628.0,1619.43212890625,2779800
2018-06-21,1609.0,1665.0,1609.0,1656.0,1647.2847900390625,2264700
2018-06-22,1616.0,1669.0,1604.0,1651.0,1642.3111572265625,2101900
2018-06-25,1644.0,1662.0,1594.0,1597.0,1588.59521484375,1666300
2018-06-26,1557.0,1579.0,1548.0,1553.0,1544.826904296875,1647700
2018-06-27,1558.0,1610.0,1552.0,1606.0,1597.5479736328125,1689200
2018-06-28,1588.0,1599.0,1569.0,1592.0,1583.62158203125,2165100
2018-06-29,1605.0,1610.0,1581.0,1609.0,1600.5322265625,1963500
2018-07-02,1600.0,1619.0,1572.0,1574.0,1565.71630859375,1658200
2018-07-03,1590.0,1634.0,1575.0,1592.0,1583.62158203125,2332200
2018-07-04,1565.0,1574.0,1545.0,1564.0,1555.7691650390625,1714600
2018-07-05,1562.0,1588.0,1562.0,1579.0,1570.6900634765625,1954900
2018-07-06,1613.0,1653.0,1595.0,1646.0,1637.33740234375,2575400
2018-07-09,1646.0,1703.0,1642.0,1700.0,1691.0531005859375,2898500
2018-07-10,1700.0,1702.0,1675.0,1675.0,1666.1846923828125,1958700
2018-07-11,1660.0,1698.0,1636.0,1696.0,1687.0743408203125,2447700
2018-07-12,1690.0,1726.0,1670.0,1711.0,1701.995361328125,2550900
2018-07-13,1723.0,1788.0,1707.0,1783.0,1773.616455078125,2296300
2018-07-16,1783.0,1783.0,1783.0,1783.0,1773.616455078125,0
2018-07-17,1747.0,1790.0,1734.0,1775.0,1765.658447265625,1903500
2018-07-18,1806.0,1825.0,1785.0,1792.0,1782.5689697265625,2163100
